ticker,date,image_path,window_start,window_end
AAPL,2022-01-31,D:\full-stack2\data\charts\AAPL\2022-01-31.png,2022-01-03,2022-01-31
AAPL,2022-02-01,D:\full-stack2\data\charts\AAPL\2022-02-01.png,2022-01-04,2022-02-01
AAPL,2022-02-02,D:\full-stack2\data\charts\AAPL\2022-02-02.png,2022-01-05,2022-02-02
AAPL,2022-02-03,D:\full-stack2\data\charts\AAPL\2022-02-03.png,2022-01-06,2022-02-03
AAPL,2022-02-04,D:\full-stack2\data\charts\AAPL\2022-02-04.png,2022-01-07,2022-02-04
AAPL,2022-02-07,D:\full-stack2\data\charts\AAPL\2022-02-07.png,2022-01-10,2022-02-07
AAPL,2022-02-08,D:\full-stack2\data\charts\AAPL\2022-02-08.png,2022-01-11,2022-02-08
AAPL,2022-02-09,D:\full-stack2\data\charts\AAPL\2022-02-09.png,2022-01-12,2022-02-09
AAPL,2022-02-10,D:\full-stack2\data\charts\AAPL\2022-02-10.png,2022-01-13,2022-02-10
AAPL,2022-02-11,D:\full-stack2\data\charts\AAPL\2022-02-11.png,2022-01-14,2022-02-11
AAPL,2022-02-14,D:\full-stack2\data\charts\AAPL\2022-02-14.png,2022-01-18,2022-02-14
AAPL,2022-02-15,D:\full-stack2\data\charts\AAPL\2022-02-15.png,2022-01-19,2022-02-15
AAPL,2022-02-16,D:\full-stack2\data\charts\AAPL\2022-02-16.png,2022-01-20,2022-02-16
AAPL,2022-02-17,D:\full-stack2\data\charts\AAPL\2022-02-17.png,2022-01-21,2022-02-17
AAPL,2022-02-18,D:\full-stack2\data\charts\AAPL\2022-02-18.png,2022-01-24,2022-02-18
AAPL,2022-02-22,D:\full-stack2\data\charts\AAPL\2022-02-22.png,2022-01-25,2022-02-22
AAPL,2022-02-23,D:\full-stack2\data\charts\AAPL\2022-02-23.png,2022-01-26,2022-02-23
AAPL,2022-02-24,D:\full-stack2\data\charts\AAPL\2022-02-24.png,2022-01-27,2022-02-24
AAPL,2022-02-25,D:\full-stack2\data\charts\AAPL\2022-02-25.png,2022-01-28,2022-02-25
AAPL,2022-02-28,D:\full-stack2\data\charts\AAPL\2022-02-28.png,2022-01-31,2022-02-28
AAPL,2022-03-01,D:\full-stack2\data\charts\AAPL\2022-03-01.png,2022-02-01,2022-03-01
AAPL,2022-03-02,D:\full-stack2\data\charts\AAPL\2022-03-02.png,2022-02-02,2022-03-02
AAPL,2022-03-03,D:\full-stack2\data\charts\AAPL\2022-03-03.png,2022-02-03,2022-03-03
AAPL,2022-03-04,D:\full-stack2\data\charts\AAPL\2022-03-04.png,2022-02-04,2022-03-04
AAPL,2022-03-07,D:\full-stack2\data\charts\AAPL\2022-03-07.png,2022-02-07,2022-03-07
AAPL,2022-03-08,D:\full-stack2\data\charts\AAPL\2022-03-08.png,2022-02-08,2022-03-08
AAPL,2022-03-09,D:\full-stack2\data\charts\AAPL\2022-03-09.png,2022-02-09,2022-03-09
AAPL,2022-03-10,D:\full-stack2\data\charts\AAPL\2022-03-10.png,2022-02-10,2022-03-10
